review,garage service positive,ease of booking positive,processed_text,sentiment,subthemes
"Would Definitely use again. Excellent price, easy ordering and arranging fitting at local garage, Carmaster, Harrogate. Will definitely use both again!!",value for money positive,location positive,"['Would', 'Definitely', 'use', '.', 'Excellent', 'price', ',', 'easy', 'ordering', 'arranging', 'fitting', 'local', 'garage', ',', 'Carmaster', ',', 'Harrogate', '.', 'definitely', 'use', '!', '!']",positive,{'garage service': 'positive'}
Good customer service!,advisoragent service positive,,"['Good', 'customer', 'service', '!']",positive,{'garage service': 'positive'}
I was told my tyre had not arrived at the garage for my initial appointment the night before the appointment. I then had to call [REDACTED] to find out how to rectify this issue. They told me the tyre had arrived at the garage and I needed to call the garage. I called the garage who then informed me that the tyre was not there. I then had to get back in touch with [REDACTED] for them to speak again to the garage. I was then informed that the tyre was there and my appointment was rescheduled to take my car in any time after 12pm. I arrived for the garage to tell me my appointment was at 1pm and needed to go away and come back. I have not been impressed with [REDACTED].,delivery punctuality negative,advisoragent service negative,"['told', 'tyre', 'arrived', 'garage', 'initial', 'appointment', 'night', 'appointment', '.', 'call', '[', 'REDACTED', ']', 'find', 'rectify', 'issue', '.', 'told', 'tyre', 'arrived', 'garage', 'needed', 'call', 'garage', '.', 'called', 'garage', 'informed', 'tyre', '.', 'get', 'back', 'touch', '[', 'REDACTED', ']', 'speak', 'garage', '.', 'informed', 'tyre', 'appointment', 'rescheduled', 'take', 'car', 'time', '12pm', '.', 'arrived', 'garage', 'tell', 'appointment', '1pm', 'needed', 'go', 'away', 'come', 'back', '.', 'impressed', '[', 'REDACTED', ']', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
Good price and service from your partner garage,value for money positive,garage service positive,"['Good', 'price', 'service', 'partner', 'garage']",positive,{'garage service': 'positive'}
Excellent Service as Always. As an existing customer reordering tyres is so quick and easy. Great communication and HiQ tyre centre in Plymouth is great.,garage service positive,,"['Excellent', 'Service', 'Always', '.', 'existing', 'customer', 'reordering', 'tyres', 'quick', 'easy', '.', 'Great', 'communication', 'HiQ', 'tyre', 'centre', 'Plymouth', 'great', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Great service. Very helpful and knowledgeable staff. Exc++++++++,garage service positive,,"['Great', 'service', '.', 'helpful', 'knowledgeable', 'staff', '.', 'Exc++++++++']",positive,{'garage service': 'positive'}
Great customer service an excellent service,advisoragent service positive,,"['Great', 'customer', 'service', 'excellent', 'service']",positive,{'garage service': 'positive'}
"Good value tyres, good service and choice of stockists",value for money positive,,"['Good', 'value', 'tyres', ',', 'good', 'service', 'choice', 'stockists']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Great service, especially from Midway Garage.",garage service positive,,"['Great', 'service', ',', 'especially', 'Midway', 'Garage', '.']",positive,{'garage service': 'positive'}
Very easy to order and fitting at home was a bonus,mobile fitter positive,,"['easy', 'order', 'fitting', 'home', 'bonus']",positive,{}
"Amazing prices. Super fitters. Very easy to use, good communication. Many thanks. Ross Sutton",garage service positive,value for money positive,"['Amazing', 'prices', '.', 'Super', 'fitters', '.', 'easy', 'use', ',', 'good', 'communication', '.', 'Many', 'thanks', '.', 'Ross', 'Sutton']",positive,{}
"Good prices, easy booking service, and great fitting team.",ease of booking positive,value for money positive,"['Good', 'prices', ',', 'easy', 'booking', 'service', ',', 'great', 'fitting', 'team', '.']",positive,{'garage service': 'positive'}
"Very easy to use service. The garage I used, Budgets in Motherwell, were fantastic. Quick and efficient.",length of fitting positive,garage service positive,"['easy', 'use', 'service', '.', 'garage', 'used', ',', 'Budgets', 'Motherwell', ',', 'fantastic', '.', 'Quick', 'efficient', '.']",positive,{'garage service': 'positive'}
"New tyres fitted by ATS in Diss, Norfolk. Good service, friendly staff.",garage service positive,,"['New', 'tyres', 'fitted', 'ATS', 'Diss', ',', 'Norfolk', '.', 'Good', 'service', ',', 'friendly', 'staff', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
It was easy to do easy to book however book a few days in advance saves last minute problems,ease of booking positive,,"['easy', 'easy', 'book', 'however', 'book', 'days', 'advance', 'saves', 'last', 'minute', 'problems']",positive,{}
Good price. Good selection of tyres and easy to browse.,value for money positive,,"['Good', 'price', '.', 'Good', 'selection', 'tyres', 'easy', 'browse', '.']",positive,{'incorrect tyres': 'positive'}
Great experience. Tyres for every budget book and pay online a good selection of garages no messing about on day very efficient would reccomend and use again,value for money positive,,"['Great', 'experience', '.', 'Tyres', 'every', 'budget', 'book', 'pay', 'online', 'good', 'selection', 'garages', 'messing', 'day', 'efficient', 'would', 'reccomend', 'use']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
The experience was great entirely satisfactory and the prices were lower than local dealers were offering,value for money positive,,"['experience', 'great', 'entirely', 'satisfactory', 'prices', 'lower', 'local', 'dealers', 'offering']",positive,{}
"Great value, easy to use.",value for money positive,,"['Great', 'value', ',', 'easy', 'use', '.']",positive,{}
Price was main factor also using local fitter who was first class also,garage service positive,value for money positive,"['Price', 'main', 'factor', 'also', 'using', 'local', 'fitter', 'first', 'class', 'also']",positive,{}
"Excellent price, easy to order and organise fitting to suit me, at Carmaster, Starbeck, Harrogate. Just Brilliant, thank-you.",value for money positive,ease of booking positive,"['Excellent', 'price', ',', 'easy', 'order', 'organise', 'fitting', 'suit', ',', 'Carmaster', ',', 'Starbeck', ',', 'Harrogate', '.', 'Brilliant', ',', 'thank-you', '.']",positive,{}
Whole process worked very well plus price was very good,value for money positive,,"['Whole', 'process', 'worked', 'well', 'plus', 'price', 'good']",positive,{}
"Excellent service. Ordered and paid for tyres for my daughters car, fitted locally to her work by ATS with minimal disruption . Delighted",garage service positive,location positive,"['Excellent', 'service', '.', 'Ordered', 'paid', 'tyres', 'daughters', 'car', ',', 'fitted', 'locally', 'work', 'ATS', 'minimal', 'disruption', '.', 'Delighted']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Price good, ordering process was quick and easy.",value for money positive,,"['Price', 'good', ',', 'ordering', 'process', 'quick', 'easy', '.']",positive,{}
I'm pretty sure the tyres that were fitted in my car were not brand new,tyre agedot code negative,,"[""'m"", 'pretty', 'sure', 'tyres', 'fitted', 'car', 'brand', 'new']",positive,{'incorrect tyres': 'positive'}
"Good prices, prompt fitment",length of fitting positive,value for money positive,"['Good', 'prices', ',', 'prompt', 'fitment']",positive,{}
Good service but to expensive,value for money positive,,"['Good', 'service', 'expensive']",positive,{'garage service': 'positive'}
The Pricing is very competitive and service offered by by local garage is excellent,garage service positive,value for money positive,"['Pricing', 'competitive', 'service', 'offered', 'local', 'garage', 'excellent']",positive,{'garage service': 'positive'}
If it is a non emergency then [REDACTED] is a competitive way to get tyres replaced.,value for money positive,,"['non', 'emergency', '[', 'REDACTED', ']', 'competitive', 'way', 'get', 'tyres', 'replaced', '.']",neutral,{'incorrect tyres': 'neutral'}
"Great all round. Great price, quick, timely and polite service. Will definitely use again and highly recommend.",length of fitting positive,value for money positive,"['Great', 'round', '.', 'Great', 'price', ',', 'quick', ',', 'timely', 'polite', 'service', '.', 'definitely', 'use', 'highly', 'recommend', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
"Best price, easy to use, no hassles. Tyres were fitted at Mcconechys st Clair street Aberdeen and they were first class with their service",value for money positive,garage service positive,"['Best', 'price', ',', 'easy', 'use', ',', 'hassles', '.', 'Tyres', 'fitted', 'Mcconechys', 'st', 'Clair', 'street', 'Aberdeen', 'first', 'class', 'service']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Great price and easy service. Would definitely use again,value for money positive,,"['Great', 'price', 'easy', 'service', '.', 'Would', 'definitely', 'use']",positive,{'garage service': 'positive'}
Best online price and convenient fitting.,value for money positive,,"['Best', 'online', 'price', 'convenient', 'fitting', '.']",positive,{}
"Have used [REDACTED] several times. Good prices, easy online ordering and arranging fitting to suit. Will use again.",value for money positive,ease of booking positive,"['used', '[', 'REDACTED', ']', 'several', 'times', '.', 'Good', 'prices', ',', 'easy', 'online', 'ordering', 'arranging', 'fitting', 'suit', '.', 'use', '.']",positive,{'wait time': 'positive'}
Good prices and choice of where to get fitted. Very good service from ATS fitters. Simple search and order process.,value for money positive,garage service positive,"['Good', 'prices', 'choice', 'get', 'fitted', '.', 'good', 'service', 'ATS', 'fitters', '.', 'Simple', 'search', 'order', 'process', '.']",positive,{'garage service': 'positive'}
"Correct service,fair prices!",value for money positive,,"['Correct', 'service', ',', 'fair', 'prices', '!']",neutral,{'garage service': 'neutral'}
First class service from the garage. Good range of tyre to choose from at affordable prices.,value for money positive,garage service positive,"['First', 'class', 'service', 'garage', '.', 'Good', 'range', 'tyre', 'choose', 'affordable', 'prices', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Very good service and good price Tyres ordered available and fitted by local fitters on the day and time selected.,location positive,value for money positive,"['good', 'service', 'good', 'price', 'Tyres', 'ordered', 'available', 'fitted', 'local', 'fitters', 'day', 'time', 'selected', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Great service, great price.",value for money positive,,"['Great', 'service', ',', 'great', 'price', '.']",positive,{'garage service': 'positive'}
"Couldn’t fault the service, tyres fitted quickly Everything good.",length of fitting positive,garage service positive,"['’', 'fault', 'service', ',', 'tyres', 'fitted', 'quickly', 'Everything', 'good', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
2 young guys so very helpful. nothing to much trouble and as I've said very helpful,garage service positive,,"['2', 'young', 'guys', 'helpful', '.', 'nothing', 'much', 'trouble', ""'ve"", 'said', 'helpful']",positive,{}
I haven't found anyone yet to beat [REDACTED] prices for branded tyres and the website is easy to use and appointments are easy to book.,value for money positive,ease of booking positive,"[""n't"", 'found', 'anyone', 'yet', 'beat', '[', 'REDACTED', ']', 'prices', 'branded', 'tyres', 'website', 'easy', 'use', 'appointments', 'easy', 'book', '.']",positive,{'incorrect tyres': 'positive'}
"Great selection of both budget and high end tyres. Easy online booking and payment, no phone calls required, whats not to like?",ease of booking positive,value for money positive,"['Great', 'selection', 'budget', 'high', 'end', 'tyres', '.', 'Easy', 'online', 'booking', 'payment', ',', 'phone', 'calls', 'required', ',', 'whats', 'like', '?']",positive,{'incorrect tyres': 'positive'}
Great choice of tyres in all price ranges. Apparently carefully chosen fitting partners that deliver a excellent service. And the ordering process couldn't be easier. If you need assistance it's right there.,value for money positive,,"['Great', 'choice', 'tyres', 'price', 'ranges', '.', 'Apparently', 'carefully', 'chosen', 'fitting', 'partners', 'deliver', 'excellent', 'service', '.', 'ordering', 'process', 'could', ""n't"", 'easier', '.', 'need', 'assistance', ""'s"", 'right', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Excellent range of tyres at great prices, ordering on line is easy. Fitted by a local garage who are always very good. Used [REDACTED] twice and will definatley do so again.",value for money positive,location positive,"['Excellent', 'range', 'tyres', 'great', 'prices', ',', 'ordering', 'line', 'easy', '.', 'Fitted', 'local', 'garage', 'always', 'good', '.', 'Used', '[', 'REDACTED', ']', 'twice', 'definatley', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
excellent service garage very good and polite.,garage service positive,,"['excellent', 'service', 'garage', 'good', 'polite', '.']",positive,{'garage service': 'positive'}
"Good price, simple system.",value for money positive,,"['Good', 'price', ',', 'simple', 'system', '.']",positive,{}
"Good price from [REDACTED], excellent fitting from Tolleys",value for money positive,garage service positive,"['Good', 'price', '[', 'REDACTED', ']', ',', 'excellent', 'fitting', 'Tolleys']",positive,{}
"Good, efficient and reliable service. Garage was A*",garage service positive,,"['Good', ',', 'efficient', 'reliable', 'service', '.', 'Garage', '*']",positive,{'garage service': 'positive'}
Very easy to choose tyres and clash of dates for fitting was quickly resolved,ease of booking positive,,"['easy', 'choose', 'tyres', 'clash', 'dates', 'fitting', 'quickly', 'resolved']",positive,{'incorrect tyres': 'positive'}
Always good prices and service when and were you want.,value for money positive,,"['Always', 'good', 'prices', 'service', 'want', '.']",positive,{'garage service': 'positive'}
I felt let down by the service provided by [REDACTED],garage service positive,,"['felt', 'let', 'service', 'provided', '[', 'REDACTED', ']']",negative,{'garage service': 'negative'}
Great prices and service,value for money positive,,"['Great', 'prices', 'service']",positive,{'garage service': 'positive'}
"Not a very good serviceOrdered 2 tyres to be fitted at my local garage on the 3rd Aug, then got email to say the soonest they could be fitted was the 6th Aug. When I spoke to the garage they told me it was because [REDACTED] had sent 2 different size tyres! I has taken them until the 9th August to deliver the correct tyres and the garage have called me to let me know. Not good customer service at all. Just as well I wasn't in a hurry for the tyres!!",incorrect tyres sent negative,change of date negative,"['good', 'serviceOrdered', '2', 'tyres', 'fitted', 'local', 'garage', '3rd', 'Aug', ',', 'got', 'email', 'say', 'soonest', 'could', 'fitted', '6th', 'Aug', '.', 'spoke', 'garage', 'told', '[', 'REDACTED', ']', 'sent', '2', 'different', 'size', 'tyres', '!', 'taken', '9th', 'August', 'deliver', 'correct', 'tyres', 'garage', 'called', 'let', 'know', '.', 'good', 'customer', 'service', '.', 'well', ""n't"", 'hurry', 'tyres', '!', '!']",negative,"{'garage service': 'negative', 'incorrect tyres': 'negative'}"
"Cheaper than competition, very easy to book, recommended fitter based upon reviews was excellent.",garage service positive,ease of booking positive,"['Cheaper', 'competition', ',', 'easy', 'book', ',', 'recommended', 'fitter', 'based', 'upon', 'reviews', 'excellent', '.']",positive,{}
"Goid Service. Good comparative price and able to use my local garage, much better than going to a Tyre company",value for money positive,location positive,"['Goid', 'Service', '.', 'Good', 'comparative', 'price', 'able', 'use', 'local', 'garage', ',', 'much', 'better', 'going', 'Tyre', 'company']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
A good price and speedy service,value for money positive,,"['good', 'price', 'speedy', 'service']",positive,{'garage service': 'positive'}
"Excellent service, fantastic fitter!",garage service positive,,"['Excellent', 'service', ',', 'fantastic', 'fitter', '!']",positive,{'garage service': 'positive'}
Easy transaction and great value.,value for money positive,,"['Easy', 'transaction', 'great', 'value', '.']",positive,{}
Good and quality worth price for that and great service superb!!!,value for money positive,tyre quality positive,"['Good', 'quality', 'worth', 'price', 'great', 'service', 'superb', '!', '!', '!']",positive,{'garage service': 'positive'}
Brilliant service at a good price. Well impressed,value for money positive,,"['Brilliant', 'service', 'good', 'price', '.', 'Well', 'impressed']",positive,{'garage service': 'positive'}
Good price and excellent service at local garage.,value for money positive,garage service positive,"['Good', 'price', 'excellent', 'service', 'local', 'garage', '.']",positive,{'garage service': 'positive'}
"Easy to book, even if you have to search for the tyre by size, and a reasonable range of places that fit the tyres",ease of booking positive,,"['Easy', 'book', ',', 'even', 'search', 'tyre', 'size', ',', 'reasonable', 'range', 'places', 'fit', 'tyres']",positive,{'incorrect tyres': 'positive'}
"Spot on, easy to use and a great price. Staff very friendly and engaging.",value for money positive,garage service positive,"['Spot', ',', 'easy', 'use', 'great', 'price', '.', 'Staff', 'friendly', 'engaging', '.']",positive,{}
"Good price, good list of local garages and quick fitting",value for money positive,location positive,"['Good', 'price', ',', 'good', 'list', 'local', 'garages', 'quick', 'fitting']",positive,{'garage service': 'positive'}
Easy to do and saves phoning round garages plus you get a timed appointment for fitting,ease of booking positive,,"['Easy', 'saves', 'phoning', 'round', 'garages', 'plus', 'get', 'timed', 'appointment', 'fitting']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
"Has always been good value, easy to use and the garages you use have always done a good job for me.",value for money positive,garage service positive,"['always', 'good', 'value', ',', 'easy', 'use', 'garages', 'use', 'always', 'done', 'good', 'job', '.']",positive,{'garage service': 'positive'}
Bought tyres online which were marginally better value in comparison to other garages. The fitter did not attach the balancing weights correctly necessitating a revisit but the issue was quickly rectified by the staff.I have used the website previously and will use again.,balancing negative,value for money positive,"['Bought', 'tyres', 'online', 'marginally', 'better', 'value', 'comparison', 'garages', '.', 'fitter', 'attach', 'balancing', 'weights', 'correctly', 'necessitating', 'revisit', 'issue', 'quickly', 'rectified', 'staff.I', 'used', 'website', 'previously', 'use', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"Another pair of rainsport 3 for me 225/40/18/ Y for my Astra sri estate through [REDACTED] and had them fitted at my local ATS , had the tracking done too, good job passanger side front was scrubbing bad. Anyway walked in staff very polite and was offered a brew ( nice ) car drove in started job was about 45mins no complaints here , have used ATS 3 or 4 times now and would recommend them as i would [REDACTED]. TOP JOB.",length of fitting positive,location positive,"['Another', 'pair', 'rainsport', '3', '225/40/18/', 'Astra', 'sri', 'estate', '[', 'REDACTED', ']', 'fitted', 'local', 'ATS', ',', 'tracking', 'done', ',', 'good', 'job', 'passanger', 'side', 'front', 'scrubbing', 'bad', '.', 'Anyway', 'walked', 'staff', 'polite', 'offered', 'brew', '(', 'nice', ')', 'car', 'drove', 'started', 'job', '45mins', 'complaints', ',', 'used', 'ATS', '3', '4', 'times', 'would', 'recommend', 'would', '[', 'REDACTED', ']', '.', 'TOP', 'JOB', '.']",positive,{'wait time': 'positive'}
[REDACTED] OK but fitting garage a dead loss.,garage service negative,,"['[', 'REDACTED', ']', 'OK', 'fitting', 'garage', 'dead', 'loss', '.']",positive,{'garage service': 'positive'}
"5 star. Really quick quote, best value and fast delivery to local fitter.",location positive,length of fitting positive,"['5', 'star', '.', 'Really', 'quick', 'quote', ',', 'best', 'value', 'fast', 'delivery', 'local', 'fitter', '.']",positive,{}
You cancelled my first appointment because the tyres hadn't arived but you booked me in the day after good service by me thanks,delivery punctuality negative,change of date negative,"['cancelled', 'first', 'appointment', 'tyres', ""n't"", 'arived', 'booked', 'day', 'good', 'service', 'thanks']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
"“Does what it days on the tin” Easy to use website, great price & service",value for money positive,,"['“', 'days', 'tin', '”', 'Easy', 'use', 'website', ',', 'great', 'price', '&', 'service']",positive,{'garage service': 'positive'}
"Easy to order, fitted quickly at local garage. Very impressed",location positive,length of fitting positive,"['Easy', 'order', ',', 'fitted', 'quickly', 'local', 'garage', '.', 'impressed']",positive,{'garage service': 'positive'}
"Good prices, good range of tyres, booking a time slot makes it very simple and easy.",ease of booking positive,value for money positive,"['Good', 'prices', ',', 'good', 'range', 'tyres', ',', 'booking', 'time', 'slot', 'makes', 'simple', 'easy', '.']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
A few problems with getting tyres that I ordered but they kept me informed and was happy with the result,advisoragent service positive,,"['problems', 'getting', 'tyres', 'ordered', 'kept', 'informed', 'happy', 'result']",positive,{'incorrect tyres': 'positive'}
"Great Service. So easy, great prices, great service, great communication",value for money positive,,"['Great', 'Service', '.', 'easy', ',', 'great', 'prices', ',', 'great', 'service', ',', 'great', 'communication']",positive,{'garage service': 'positive'}
Excellent service and a very fair price,value for money positive,,"['Excellent', 'service', 'fair', 'price']",positive,{'garage service': 'positive'}
The variety of tyre brands is good as are the prices. The fitting partner was very efficient and the availability of appointment slots was good. Good experience all-round.,value for money positive,ease of booking positive,"['variety', 'tyre', 'brands', 'good', 'prices', '.', 'fitting', 'partner', 'efficient', 'availability', 'appointment', 'slots', 'good', '.', 'Good', 'experience', 'all-round', '.']",positive,{'incorrect tyres': 'positive'}
"Delivery issues garage uncomplentry about [REDACTED] fitment issues with lack of paperwork. Easy to order, great to talk to but tyres did not arrive to garage on time. Luckily garage used their own stock but admitted frequent delivery delays so unsure it given same tyre rating as ordered.No paperwork provided when job done and wheel bolt snapped off during fitting so had to purchase replacement myself.Garage did fit it free of charge when i returned but had been told OK to drive car without it which was shocking as doing a 250km round trip that day. Price great value but garage partner did not give good impression.",value for money positive,delivery punctuality negative,"['Delivery', 'issues', 'garage', 'uncomplentry', '[', 'REDACTED', ']', 'fitment', 'issues', 'lack', 'paperwork', '.', 'Easy', 'order', ',', 'great', 'talk', 'tyres', 'arrive', 'garage', 'time', '.', 'Luckily', 'garage', 'used', 'stock', 'admitted', 'frequent', 'delivery', 'delays', 'unsure', 'given', 'tyre', 'rating', 'ordered.No', 'paperwork', 'provided', 'job', 'done', 'wheel', 'bolt', 'snapped', 'fitting', 'purchase', 'replacement', 'myself.Garage', 'fit', 'free', 'charge', 'returned', 'told', 'OK', 'drive', 'car', 'without', 'shocking', '250km', 'round', 'trip', 'day', '.', 'Price', 'great', 'value', 'garage', 'partner', 'give', 'good', 'impression', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
[REDACTED] good. [REDACTED] always works for me. Competitive prices and easy local fitting.,value for money positive,location positive,"['[', 'REDACTED', ']', 'good', '.', '[', 'REDACTED', ']', 'always', 'works', '.', 'Competitive', 'prices', 'easy', 'local', 'fitting', '.']",positive,{}
"highly recomended. Easy to use web site, kept informed of order, fitted by local garage with no problems. On top of all this got 10% off,especially good when you are buying four tyres.",discounts positive,location positive,"['highly', 'recomended', '.', 'Easy', 'use', 'web', 'site', ',', 'kept', 'informed', 'order', ',', 'fitted', 'local', 'garage', 'problems', '.', 'top', 'got', '10', '%', ',', 'especially', 'good', 'buying', 'four', 'tyres', '.']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Fine until you have a problem. Had a problem with a fault in a Uniroyal tyre after around 500 miles. I wasn't impressed with the [REDACTED] complaints process which was chaotic and unprofessional. Their main aim seemed to be to be to find/claim some imaginary damage on the tyre and so disallow the claim.,garage service positive,,"['Fine', 'problem', '.', 'problem', 'fault', 'Uniroyal', 'tyre', 'around', '500', 'miles', '.', ""n't"", 'impressed', '[', 'REDACTED', ']', 'complaints', 'process', 'chaotic', 'unprofessional', '.', 'main', 'aim', 'seemed', 'find/claim', 'imaginary', 'damage', 'tyre', 'disallow', 'claim', '.']",positive,{'incorrect tyres': 'positive'}
Good price good service,value for money positive,,"['Good', 'price', 'good', 'service']",positive,{'garage service': 'positive'}
Very cheap and efficient way of replacing tyres. First order and appt was cancelled due to low stock but this was effectively rectified,value for money positive,change of date negative,"['cheap', 'efficient', 'way', 'replacing', 'tyres', '.', 'First', 'order', 'appt', 'cancelled', 'due', 'low', 'stock', 'effectively', 'rectified']",positive,{'incorrect tyres': 'positive'}
"Always a nice and easy experience. Type in reg, pick tyres, wait a couple days and get them fitted. Saves the hassle of phoning around and usually the cheapest anyways. Thanks [REDACTED]",value for money positive,,"['Always', 'nice', 'easy', 'experience', '.', 'Type', 'reg', ',', 'pick', 'tyres', ',', 'wait', 'couple', 'days', 'get', 'fitted', '.', 'Saves', 'hassle', 'phoning', 'around', 'usually', 'cheapest', 'anyways', '.', 'Thanks', '[', 'REDACTED', ']']",positive,"{'wait time': 'positive', 'incorrect tyres': 'positive'}"
"Very efficient service, waiting area clean as were the toilets",length of fitting positive,facilities positive,"['efficient', 'service', ',', 'waiting', 'area', 'clean', 'toilets']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
A great and hasslefree service. I was recommended your tyre replacement service by my local garage. It was so simple to find the right size of tyres for my car as all I had to do was enter my car registration number. It was hassle free as I booked a suitable appointment for the tyre replacement all at the same time. All I had to do was turn up at my local garage where the tyres had already been delivered. All was done at no extra cost. Thanks for such a great and hassle-free service.,extra charges positive,location positive,"['great', 'hasslefree', 'service', '.', 'recommended', 'tyre', 'replacement', 'service', 'local', 'garage', '.', 'simple', 'find', 'right', 'size', 'tyres', 'car', 'enter', 'car', 'registration', 'number', '.', 'hassle', 'free', 'booked', 'suitable', 'appointment', 'tyre', 'replacement', 'time', '.', 'turn', 'local', 'garage', 'tyres', 'already', 'delivered', '.', 'done', 'extra', 'cost', '.', 'Thanks', 'great', 'hassle-free', 'service', '.']",positive,"{'garage service': 'positive', 'wait time': 'positive', 'incorrect tyres': 'positive'}"
"The product was great but the service, although polite, was really inconsistent and lead to mistakes being made",tyre quality positive,garage service negative,"['product', 'great', 'service', ',', 'although', 'polite', ',', 'really', 'inconsistent', 'lead', 'mistakes', 'made']",positive,{'garage service': 'positive'}
"Easy to use website, easy to select the relevant tyres and easy to find the best place to get them fitted",ease of booking positive,,"['Easy', 'use', 'website', ',', 'easy', 'select', 'relevant', 'tyres', 'easy', 'find', 'best', 'place', 'get', 'fitted']",positive,{'incorrect tyres': 'positive'}
Great price and great service,value for money positive,,"['Great', 'price', 'great', 'service']",positive,{'garage service': 'positive'}
good service good prices,value for money positive,,"['good', 'service', 'good', 'prices']",positive,{'garage service': 'positive'}
"Service, delivery, and customer service at fitting point was excellent",garage service positive,advisoragent service positive,"['Service', ',', 'delivery', ',', 'customer', 'service', 'fitting', 'point', 'excellent']",positive,{'garage service': 'positive'}
"My 2 tyres saved me about £100, and that is amazing.Even the tyre fitters said they could not buy the same tyres for what I paid for them.",value for money positive,,"['2', 'tyres', 'saved', '£100', ',', 'amazing.Even', 'tyre', 'fitters', 'said', 'could', 'buy', 'tyres', 'paid', '.']",neutral,{'incorrect tyres': 'neutral'}
"Great service, great price what more can you want , guy that changed tyres was polite and quick",value for money positive,garage service positive,"['Great', 'service', ',', 'great', 'price', 'want', ',', 'guy', 'changed', 'tyres', 'polite', 'quick']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
I chose a Saturday slot and was told can't do that will have to be Monday and eventually had my tyres fitted on Tuesday,ease of booking negative,change of date negative,"['chose', 'Saturday', 'slot', 'told', 'ca', ""n't"", 'Monday', 'eventually', 'tyres', 'fitted', 'Tuesday']",neutral,{'incorrect tyres': 'neutral'}
"Prices were competitive, but the fitting times changed and the information that I was given was different to the garage",value for money positive,booking confusion negative,"['Prices', 'competitive', ',', 'fitting', 'times', 'changed', 'information', 'given', 'different', 'garage']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
Best price. No hastle fitting service.,value for money positive,garage service positive,"['Best', 'price', '.', 'hastle', 'fitting', 'service', '.']",positive,{'garage service': 'positive'}
"I have bought several tyres in the past through [REDACTED] and always been happy with the service. However, on this occasion I had to return to ATS Cleckheaton two days later for them to rebalance the wheels as the vibration was intolerable. I was also disappointed that the tyre pressures were all incorrect and out by 6lb on the same axle.",garage service negative,balancing negative,"['bought', 'several', 'tyres', 'past', '[', 'REDACTED', ']', 'always', 'happy', 'service', '.', 'However', ',', 'occasion', 'return', 'ATS', 'Cleckheaton', 'two', 'days', 'later', 'rebalance', 'wheels', 'vibration', 'intolerable', '.', 'also', 'disappointed', 'tyre', 'pressures', 'incorrect', '6lb', 'axle', '.']",negative,"{'garage service': 'negative', 'incorrect tyres': 'negative'}"
Was happy with the price & the [REDACTED] service. Unhappy with the garage that where highly rated on [REDACTED].,garage service negative,value for money positive,"['happy', 'price', '&', '[', 'REDACTED', ']', 'service', '.', 'Unhappy', 'garage', 'highly', 'rated', '[', 'REDACTED', ']', '.']",positive,{'garage service': 'positive'}
Very prompt and most of staff were friendly,garage service positive,,"['prompt', 'staff', 'friendly']",positive,{}
"Website easy to use,plenty of choice of tyres and places to have them fitted and competitive prices.",value for money positive,,"['Website', 'easy', 'use', ',', 'plenty', 'choice', 'tyres', 'places', 'fitted', 'competitive', 'prices', '.']",positive,{'incorrect tyres': 'positive'}
You only delivered one of my tyres to the garage so I had to visit twice,incorrect tyres sent negative,,"['delivered', 'one', 'tyres', 'garage', 'visit', 'twice']",neutral,"{'garage service': 'neutral', 'incorrect tyres': 'neutral'}"
Generally great service. of the 2 members of the staff that were at the center one was rude.,garage service negative,,"['Generally', 'great', 'service', '.', '2', 'members', 'staff', 'center', 'one', 'rude', '.']",positive,{'garage service': 'positive'}
